Row ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Product ID,Sales,Quantity,Discount,Profit,Order ID,Profit Margin,Order Month,Ship Days
1,2018-07-13,2018-07-16,Second Class,CUST-00074,Home Office,Central,Minnesota,Office Supplies,Supplies,OFF-SU-00001,49.72,4,0.0,4.57,ORD-2018-1000,0.0919147224456959,2018-07-01,3
2,2018-12-13,2018-12-16,Second Class,CUST-00261,Home Office,West,Nevada,Furniture,Chairs,FUR-CH-00001,715.28,3,0.0,130.84,ORD-2018-1000,0.18292137344816017,2018-12-01,3
3,2017-03-23,2017-03-27,Standard Class,CUST-00644,Consumer,East,New York,Office Supplies,Paper,OFF-PA-00001,27.94,4,0.2,9.53,ORD-2017-1000,0.3410880458124552,2017-03-01,4
4,2017-08-13,2017-08-17,Second Class,CUST-00243,Corporate,Central,Texas,Furniture,Chairs,FUR-CH-00002,335.25,5,0.2,24.9,ORD-2017-1001,0.07427293064876957,2017-08-01,4
5,2016-11-09,2016-11-13,Standard Class,CUST-00268,Consumer,West,Arizona,Technology,Phones,TEC-PH-00001,179.36,4,0.0,39.24,ORD-2016-1001,0.2187778768956289,2016-11-01,4
6,2015-12-09,2015-12-14,Standard Class,CUST-00726,Corporate,West,California,Office Supplies,Art,OFF-AR-00001,11.42,2,0.2,2.65,ORD-2015-1001,0.23204903677758318,2015-12-01,5
7,2015-11-01,2015-11-05,Second Class,CUST-00394,Home Office,Central,Indiana,Furniture,Chairs,FUR-CH-00003,255.98,2,0.0,45.34,ORD-2015-1002,0.17712321275099618,2015-11-01,4
8,2018-09-04,2018-09-09,Standard Class,CUST-00278,Corporate,East,Maine,Furniture,Furnishings,FUR-FU-00001,108.08,5,0.0,27.11,ORD-2018-1002,0.25083271650629163,2018-09-01,5
9,2017-07-08,2017-07-12,Standard Class,CUST-00291,Home Office,East,New Jersey,Furniture,Furnishings,FUR-FU-00002,59.21,1,0.2,9.77,ORD-2017-1002,0.1650059111636548,2017-07-01,4
10,2016-11-25,2016-11-30,Standard Class,CUST-00646,Consumer,South,Mississippi,Office Supplies,Appliances,OFF-AP-00001,278.83,5,0.0,32.97,ORD-2016-1003,0.11824409138184558,2016-11-01,5
11,2018-08-13,2018-08-18,Standard Class,CUST-00018,Consumer,West,Oregon,Office Supplies,Fasteners,OFF-FA-00001,43.74,7,0.2,10.71,ORD-2018-1003,0.2448559670781893,2018-08-01,5
12,2016-11-05,2016-11-10,Standard Class,CUST-00777,Consumer,Central,Missouri,Furniture,Furnishings,FUR-FU-00003,55.89,7,0.0,13.23,ORD-2016-1003,0.23671497584541062,2016-11-01,5
13,2018-03-12,2018-03-16,Standard Class,CUST-00454,Consumer,East,Connecticut,Office Supplies,Appliances,OFF-AP-00002,24.39,2,0.0,4.08,ORD-2018-1004,0.16728167281672818,2018-03-01,4
14,2018-09-18,2018-09-22,Standard Class,CUST-00746,Consumer,East,Delaware,Furniture,Bookcases,FUR-BO-00001,403.56,2,0.0,47.15,ORD-2018-1004,0.11683516701357914,2018-09-01,4
15,2016-07-04,2016-07-10,Standard Class,CUST-00770,Corporate,Central,Indiana,Office Supplies,Envelopes,OFF-EN-00001,23.71,4,0.2,7.35,ORD-2016-1004,0.30999578237030784,2016-07-01,6
16,2015-05-23,2015-05-29,Standard Class,CUST-00123,Consumer,East,Rhode Island,Furniture,Bookcases,FUR-BO-00002,1110.22,2,0.0,148.01,ORD-2015-1005,0.13331591936733259,2015-05-01,6
17,2015-04-07,2015-04-11,Standard Class,CUST-00514,Consumer,West,Nevada,Office Supplies,Storage,OFF-ST-00001,42.4,1,0.2,6.59,ORD-2015-1005,0.1554245283018868,2015-04-01,4
18,2018-09-23,2018-09-29,Standard Class,CUST-00623,Consumer,East,Maryland,Office Supplies,Binders,OFF-BI-00001,60.52,6,0.7,-5.83,ORD-2018-1005,-0.09633179114342366,2018-09-01,6
19,2016-05-12,2016-05-13,First Class,CUST-00147,Consumer,West,Idaho,Office Supplies,Paper,OFF-PA-00002,28.45,4,0.0,10.64,ORD-2016-1006,0.3739894551845343,2016-05-01,1
20,2016-10-15,2016-10-17,First Class,CUST-00688,Home Office,West,Utah,Office Supplies,Paper,OFF-PA-00003,26.61,4,0.2,9.8,ORD-2016-1006,0.36828260052611805,2016-10-01,2
