Order Month,Sales,Profit,Margin,Anomaly
2015-01-01,32598.35,2045.74,0.06275593703362287,False
2015-02-01,25608.510000000002,2118.52,0.08272718717332636,False
2015-03-01,35328.59,2041.86,0.05779624943990123,False
2015-04-01,37508.3,2459.82,0.06558068480842907,False
2015-05-01,38060.96,2728.81,0.07169577435776713,False
2015-06-01,45841.96,4490.35,0.09795283622253499,False
2015-07-01,37072.13,4199.38,0.11327592992363807,False
2015-08-01,36281.07,4267.6,0.1176260788339484,False
2015-09-01,53265.77,3708.18,0.0696165661361884,False
2015-10-01,45895.39,7803.55,0.17002905956349865,True
2015-11-01,53609.98,6053.49,0.11291722175609839,False
2015-12-01,81100.36,7510.74,0.09261043970704938,False
2016-01-01,33801.64,4913.95,0.1453760823439336,False
2016-02-01,35728.74,5003.6,0.14004412134320998,False
2016-03-01,31935.71,3333.11,0.10436937209161783,False
2016-04-01,38771.89,4459.39,0.11501605931513786,False
2016-05-01,33850.3,3897.66,0.11514403121981193,False
2016-06-01,39877.51,2942.75,0.0737947279055287,False
2016-07-01,43785.83,5353.5199999999995,0.1222660390359164,False
2016-08-01,51674.08,5079.7,0.09830266934602415,False
2016-09-01,59207.44,7619.11,0.12868500985686934,False
2016-10-01,55871.33,4563.55,0.08167963783929968,False
2016-11-01,54600.08,5874.0,0.10758225995273267,False
2016-12-01,98005.6,7145.39,0.07290797668704645,False
2017-01-01,55008.81,4855.03,0.08825913521852227,False
2017-02-01,36935.04,5771.8,0.15626895219282286,False
2017-03-01,54493.15,5431.15,0.0996666553502596,False
2017-04-01,49264.67,4205.71,0.08536969800061586,False
2017-05-01,58562.43,9841.55,0.1680522819835174,True
2017-06-01,57434.33,4527.11,0.07882236982654799,False
2017-07-01,73240.85,8295.23,0.11325960853813137,False
2017-08-01,46816.9,3270.5,0.06985725240244442,False
2017-09-01,49321.76,5834.91,0.11830295593669,False
2017-10-01,58203.87,4642.0199999999995,0.0797544905519169,False
2017-11-01,89746.4,3390.23,0.03777566565344125,True
2017-12-01,108651.47,15249.04,0.1403482161815206,False
2018-01-01,43674.69,4182.6,0.09576713652689922,False
2018-02-01,46231.86,5500.2,0.11896990516929234,False
2018-03-01,68265.69,5950.19,0.08716223332687327,False
2018-04-01,45364.98,3847.48,0.08481167631948697,False
2018-05-01,57095.34,4803.4,0.08412945785067573,False
2018-06-01,52714.85,5268.21,0.09993787329376827,False
2018-07-01,61943.73,4889.77,0.07893890148365298,False
2018-08-01,67563.68000000001,6263.33,0.09270261773781416,False
2018-09-01,88651.95,9744.06,0.10991365672159495,False
2018-10-01,72048.57,8940.130000000001,0.12408476670668134,False
2018-11-01,89649.8,7882.69,0.08792758042962727,False
2018-12-01,102962.53,10433.39,0.10133191171584459,False
